Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Detail books one by one,Chrome 140.0.0.0,,,2025-09-26 19:39:59,2025-09-26 19:41:17,1m - 17.965s,PASSED
,,,,,,,
Test Cases/Visible item one by one/Visible Detail Book - Test Automation in the Real World,Chrome 140.0.0.0,,,2025-09-26 19:40:00,2025-09-26 19:40:11,11.272s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:40:00,2025-09-26 19:40:05,4.942s,PASSED
"openBrowser("""")",Chrome 140.0.0.0,,,2025-09-26 19:40:05,2025-09-26 19:40:07,2.535s,PASSED
navigateToUrl(baseUrl),Chrome 140.0.0.0,,,2025-09-26 19:40:07,2025-09-26 19:40:10,2.321s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":""1""]), ""Test Automation in the Real World"")",Chrome 140.0.0.0,,,2025-09-26 19:40:10,2025-09-26 19:40:10,0.248s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":""1""]), ""Greg Paskal"")",Chrome 140.0.0.0,,,2025-09-26 19:40:10,2025-09-26 19:40:10,0.111s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":""1""]), ""$9.99"")",Chrome 140.0.0.0,,,2025-09-26 19:40:10,2025-09-26 19:40:10,0.095s,PASSED
closeBrowser(),Chrome 140.0.0.0,,,2025-09-26 19:40:10,2025-09-26 19:40:11,0.753s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:40:11,2025-09-26 19:40:11,0.024s,PASSED
,,,,,,,
Test Cases/Visible item one by one/Visible Detail Book - Experiences of Test Automation,Chrome 140.0.0.0,,,2025-09-26 19:40:11,2025-09-26 19:40:23,12.657s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:40:11,2025-09-26 19:40:17,5.761s,PASSED
"openBrowser("""")",Chrome 140.0.0.0,,,2025-09-26 19:40:17,2025-09-26 19:40:19,2.514s,PASSED
navigateToUrl(baseUrl),Chrome 140.0.0.0,,,2025-09-26 19:40:19,2025-09-26 19:40:22,3.063s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":""2""]), ""Experiences of Test Automation"")",Chrome 140.0.0.0,,,2025-09-26 19:40:22,2025-09-26 19:40:23,0.176s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":""2""]), ""Dorothy Graham and Mark Fewster"")",Chrome 140.0.0.0,,,2025-09-26 19:40:23,2025-09-26 19:40:23,0.117s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":""2""]), ""$44.09"")",Chrome 140.0.0.0,,,2025-09-26 19:40:23,2025-09-26 19:40:23,0.109s,PASSED
closeBrowser(),Chrome 140.0.0.0,,,2025-09-26 19:40:23,2025-09-26 19:40:23,0.717s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:40:23,2025-09-26 19:40:23,0.006s,PASSED
,,,,,,,
Test Cases/Visible item one by one/Visible Detail Book - Agile Testing,Chrome 140.0.0.0,,,2025-09-26 19:40:24,2025-09-26 19:40:35,11.404s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:40:24,2025-09-26 19:40:28,4.176s,PASSED
"openBrowser("""")",Chrome 140.0.0.0,,,2025-09-26 19:40:28,2025-09-26 19:40:30,2.599s,PASSED
navigateToUrl(baseUrl),Chrome 140.0.0.0,,,2025-09-26 19:40:30,2025-09-26 19:40:34,3.380s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":""3""]), ""Agile Testing"")",Chrome 140.0.0.0,,,2025-09-26 19:40:34,2025-09-26 19:40:34,0.111s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":""3""]), ""Lisa Crispin and Janet Gregory"")",Chrome 140.0.0.0,,,2025-09-26 19:40:34,2025-09-26 19:40:34,0.108s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":""3""]), ""$49.07"")",Chrome 140.0.0.0,,,2025-09-26 19:40:34,2025-09-26 19:40:34,0.106s,PASSED
closeBrowser(),Chrome 140.0.0.0,,,2025-09-26 19:40:34,2025-09-26 19:40:35,0.736s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:40:35,2025-09-26 19:40:35,0.005s,PASSED
,,,,,,,
Test Cases/Visible item one by one/Visible Detail Book - How Google Tests Software,Chrome 140.0.0.0,,,2025-09-26 19:40:35,2025-09-26 19:40:44,9.233s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:40:35,2025-09-26 19:40:38,3.554s,PASSED
"openBrowser("""")",Chrome 140.0.0.0,,,2025-09-26 19:40:39,2025-09-26 19:40:41,2.634s,PASSED
navigateToUrl(baseUrl),Chrome 140.0.0.0,,,2025-09-26 19:40:41,2025-09-26 19:40:43,1.813s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":""4""]), ""How Google Tests Software"")",Chrome 140.0.0.0,,,2025-09-26 19:40:43,2025-09-26 19:40:43,0.144s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":""4""]), ""James A. Whittaker, Jason Arbon, Jeff Carollo"")",Chrome 140.0.0.0,,,2025-09-26 19:40:43,2025-09-26 19:40:43,0.086s,PASSED
