Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search feature,Chrome 140.0.0.0,,,2025-09-26 19:43:09,2025-09-26 19:44:27,1m - 18.480s,PASSED
,,,,,,,
Test Cases/Search by title book,Chrome 140.0.0.0,,,2025-09-26 19:43:13,2025-09-26 19:43:17,3.332s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:43:13,2025-09-26 19:43:13,0.017s,PASSED
"setText(findTestObject(""searchBar"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:14,2025-09-26 19:43:14,0.478s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:14,2025-09-26 19:43:14,0.181s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 19:43:14,2025-09-26 19:43:14,0.205s,PASSED
"click(findTestObject(""btn-clearText""))",Chrome 140.0.0.0,,,2025-09-26 19:43:14,2025-09-26 19:43:15,0.138s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 19:43:15,2025-09-26 19:43:17,2.025s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:17,0.004s,PASSED
,,,,,,,
Test Cases/Search by title book,Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:20,2.969s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:17,0.016s,PASSED
"setText(findTestObject(""searchBar"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:17,0.310s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:17,0.167s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:17,0.231s,PASSED
"click(findTestObject(""btn-clearText""))",Chrome 140.0.0.0,,,2025-09-26 19:43:17,2025-09-26 19:43:18,0.212s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 19:43:18,2025-09-26 19:43:20,2.012s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:43:20,2025-09-26 19:43:20,0.000s,PASSED
,,,,,,,
Test Cases/Search by title book,Chrome 140.0.0.0,,,2025-09-26 19:43:20,2025-09-26 19:43:23,3.091s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:43:20,2025-09-26 19:43:20,0.000s,PASSED
"setText(findTestObject(""searchBar"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:20,2025-09-26 19:43:20,0.378s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:43:20,2025-09-26 19:43:20,0.169s,PASSED
