Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All cases,Chrome 140.0.0.0,,,2025-10-05 17:55:37,2025-10-05 17:57:16,1m - 38.281s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 17:55:51,2025-10-05 17:55:55,3.334s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 17:55:51,2025-10-05 17:55:51,0.014s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 17:55:52,2025-10-05 17:55:52,0.333s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 17:55:52,2025-10-05 17:55:52,0.251s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 17:55:52,2025-10-05 17:55:52,0.159s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 17:55:52,2025-10-05 17:55:53,0.230s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 17:55:53,2025-10-05 17:55:55,2.047s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.007s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:57,2.546s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.007s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.153s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.130s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.120s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:55,0.113s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 17:55:55,2025-10-05 17:55:57,2.007s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 17:55:57,2025-10-05 17:55:57,0.001s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 17:55:57,2025-10-05 17:56:00,2.523s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 17:55:57,2025-10-05 17:55:57,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 17:55:57,2025-10-05 17:55:57,0.144s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 17:55:57,2025-10-05 17:55:58,0.105s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 17:55:58,2025-10-05 17:55:58,0.118s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 17:55:58,2025-10-05 17:55:58,0.136s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 17:55:58,2025-10-05 17:56:00,2.006s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.004s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:02,2.519s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.187s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.099s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.100s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:00,0.102s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 17:56:00,2025-10-05 17:56:02,2.024s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 17:56:02,2025-10-05 17:56:02,0.004s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 17:56:02,2025-10-05 17:56:05,2.497s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 17:56:02,2025-10-05 17:56:02,0.001s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 17:56:02,2025-10-05 17:56:03,0.141s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 17:56:03,2025-10-05 17:56:03,0.096s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 17:56:03,2025-10-05 17:56:03,0.117s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 17:56:03,2025-10-05 17:56:03,0.118s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 17:56:03,2025-10-05 17:56:05,2.003s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 17:56:05,2025-10-05 17:56:05,0.003s,PASSED
,,,,,,,
